ANZSCO_Code,ANZSCO_Title,ANZSCO_Desc
1414,Licensed Club Managers,"Licensed Club Managers organise and control the operations of licensed clubs to provide food, beverages, gaming, entertainment, sporting and other amenities for members."
1421,Retail Managers,Retail Managers organise and control the operations of establishments which provide retail services.
1491,"Amusement, Fitness and Sports Centre Managers","Amusement, Fitness and Sports Centre Managers organise, control and promote the activities, facilities and resources of amusement, fitness and sports centres."
1493,Conference and Event Organisers,"Conference and Event Organisers organise and coordinate services for conferences, events, functions, banquets and seminars."
2113,Photographers,Photographers operate still cameras to take photographs.
2114,Visual Arts and Crafts Professionals,"Visual Arts and Crafts Professionals create visual two- and three-dimensional concepts and forms through painting, drawing, carving, sculpting, modelling, printmaking, video, multimedia, found objects, ephemera, soundscapes and other media to communicate concepts and ideas."
2123,"Film, Television, Radio and Stage Directors","Film, Television, Radio and Stage Directors direct the artistic and production aspects of film, television, radio and stage productions."
2124,Journalists and Writers,"Journalists and Writers research and compile news stories, write and edit news reports, commentaries and feature stories for presentation in print and electronic media, and compose written material to advertise goods and services."
2221,Financial Brokers,Financial Brokers operate as independent agents to facilitate the trading of commodities and arrange insurance and loans of money on behalf of clients.
2222,Financial Dealers,Financial Dealers conduct financial market transactions on behalf of clients.
2232,ICT Trainers,"ICT Trainers analyse and evaluate information-based system training needs and objectives, and develop, schedule and conduct ICT-based system training programs and courses."
2233,Training and Development Professionals,"Training and Development Professionals plan, develop, implement and evaluate training and development programs to ensure management and staff acquire the skills and develop the competencies required by organisations to meet organisational objectives."
2243,Economists,"Economists perform economic research and analysis, develop and apply theories about production and distribution of goods and services and people's spending and financial behaviour, and provide advice to governments and organisations on economic policy issues."
2245,Land Economists and Valuers,"Land Economists and Valuers provide advice on the administration and use of land and property, and assess the value of land, property and other items such as commercial equipment and objects of art."
2246,Librarians,"Librarians develop, organise and manage library services such as collections of information, recreational resources and reader information services. "
2251,Advertising and Marketing Professionals,"Advertising and Marketing Professionals develop and coordinate advertising strategies and campaigns, determine the market for new goods and services, and identify and develop market opportunities for new and existing goods and services."
2252,ICT Sales Professionals,"ICT Sales Professionals manage client accounts and represent companies in selling a range of computer hardware, software and other ICT goods and services."
2253,Public Relations Professionals,"Public Relations Professionals plan, develop, implement and evaluate information and communication strategies that create an understanding and a favourable view of organisations, their goods and services, and their role in the community."
2254,Technical Sales Representatives,"Technical Sales Representatives represent companies in selling a range of industrial, medical and pharmaceutical goods and services."
2311,Air Transport Professionals,"Air Transport Professionals fly and navigate aircraft, control and direct air traffic to ensure the safe and efficient operation of aircraft in flight and on the ground, and instruct students in flying aircraft."
2322,Surveyors and Spatial Scientists,"Cartographers and Surveyors apply scientific and mathematical principles to design, prepare and revise maps and charts, plan, direct and conduct survey work to determine, delineate, plan and precisely position tracts of land, natural and constructed features, coastlines, marine floors and underground works, and manage related information systems."
2325,Interior Designers,"Interior Designers plan, design, detail and supervise the construction of commercial, industrial, retail and residential building interiors to produce an environment tailored to a purpose, with particular emphasis on space creation, space planning, and factors that enhance living and working environments."
2326,Urban and Regional Planners,"Urban and Regional Planners develop and implement plans and policies for the controlled use of urban and rural land, and advise on economic, environmental and social factors affecting land use."
2333,Electrical Engineers,"Electrical Engineers design, develop and supervise the manufacture, installation, operation and maintenance of equipment, machines and systems for the generation, distribution, utilisation and control of electric power."
2334,Electronics Engineers,"Electronics Engineers design, develop, adapt, install, test and maintain electronic components, circuits and systems used for computer systems, communication systems, entertainment and transport."
2341,Agricultural and Forestry Scientists,"Agricultural and Forestry Scientists advise farmers, rural industries and government on aspects of farming, develop techniques for increasing productivity, and study and develop plans and policies for the management of forest areas."
2344,"Geologists, Geophysicists and Hydrogeologists","Geologists and Geophysicists study the composition, structure and other physical attributes of the earth, locate and advise on the extraction of minerals, petroleum and ground water, and detect, monitor and forecast seismic, magnetic, electrical, thermal and oceanographic activity. "
2346,Medical Laboratory Scientists,"Medical Laboratory Scientists conduct medical laboratory tests to assist in the diagnosis, treatment and prevention of disease."
2347,Veterinarians,"Veterinarians diagnose, treat and prevent animal diseases, ailments and injuries."
2411,Early Childhood Teachers,"Early Childhood Teachers teach the basics of numeracy, literacy, music, art and literature to early childhood (pre-primary) students and promote students' social, emotional, intellectual and physical development."
2412,Primary School Teachers,"Primary School Teachers teach a range of subjects within a prescribed curriculum to primary school students and promote students' social, emotional, intellectual and physical development."
2413,Middle School Teachers,"Middle School Teachers teach one or more subjects within a prescribed curriculum to middle school or intermediate school students and promote students' social, emotional, intellectual and physical development."
2414,Secondary School Teachers,"Secondary School Teachers teach one or more subjects within a prescribed curriculum to secondary school students and promote students' social, emotional, intellectual and physical development."
2415,Special Education Teachers,"Special Education Teachers teach primary, middle or intermediate, and secondary school students with learning difficulties, hearing impairment and sight impairment, and promote students' social, emotional, intellectual and physical development."
2422,Vocational Education Teachers,"Vocational Education Teachers teach one or more subjects within a prescribed course of study at technical and further education (TAFE) institutes, polytechnics and other training institutes to tertiary students for vocational education and training purposes."
2491,Education Advisers and Reviewers,"Education Advisers and Reviewers conduct educational research, develop course curricula and associated teaching materials for use by educational institutions, and review and examine the work of teachers and the results from curriculum programs in school settings."
2492,"Private Art, Dance, Drama and Music Teachers","Private Tutors and Teachers teach students in the practice, theory and performance of subjects, such as art, dance, drama and music, in private training establishments."
2511,Nutrition Professionals,"Dietitians apply the science of human nutrition to help people understand the relationship between food and health and make appropriate dietary choices to attain and maintain health, and to prevent and treat illness and disease."
2521,Chiropractors and Osteopaths,"Chiropractors and Osteopaths diagnose and treat physiological and mechanical disorders of the locomotor system and tissue strain, stress and dysfunction that impede normal neural, vascular and biochemical mechanisms, and provide advice on preventing these disorders."
2522,Complementary Health Therapists,"Complementary Health Therapists treat patients with physical, mental, spiritual and emotional needs by considering the whole person rather than focusing on specific symptoms and by using various therapies, techniques and practices."
2523,Dental Practitioners,"Dental Practitioners diagnose and treat dental disease, restore normal oral function using a broad range of treatments, such as surgery and other specialist techniques, and advise on oral health."
2524,Occupational Therapists,"Occupational Therapists assess functional limitations of people resulting from illnesses and disabilities, and provide therapy to enable people to perform their daily activities and occupations."
2525,Physiotherapists,"Physiotherapists assess, treat and prevent disorders in human movement caused by injury or disease."
2526,Podiatrists,"Podiatrists prevent, diagnose and treat disorders of the feet."
2532,Anaesthetists,"Anaesthetists provide direct medical care to patients requiring general or local anaesthesia for surgical, diagnostic and other procedures such as prevention of pain and maintenance of body function."
2533,Specialist Physicians,"Internal Medicine Specialists diagnose and treat internal human disorders and diseases using specialist testing, diagnostic and medical techniques."
2534,Psychiatrists,"Psychiatrists diagnose, assess, treat and prevent human mental, emotional and behavioural disorders. "
2535,Surgeons,"Surgeons perform surgery to correct deformities, repair injuries, prevent and treat diseases, and improve human functioning and appearance. "
2541,Midwives,"Midwives provide care and advice to women during pregnancy, labour and childbirth, and postnatal care for women and babies in a range of settings such as the home, community, hospitals, clinics and health units."
2543,Nurse Managers,"Nurse Managers manage health service units and sub-units of hospitals, aged care and community health care facilities, supervise nursing staff and financial resources to enable the provision of safe, cost effective nursing care within specified fields or for particular units, and monitor quality, clinical standards and professional development of nurses.  Registration or licensing is required."
2544,Registered Nurses,"Registered Nurses provide nursing care to patients in hospitals, aged care and other health care facilities, and in the community.  Registration or licensing is required."
2611,ICT Business and Systems Analysts,"ICT Business and Systems Analysts work with users to formulate system requirements, develop system plans and documentation, review and evaluate existing systems, and design and modify systems to meet users' business needs. "
2633,Telecommunications Engineering Professionals,"Telecommunications Engineering Professionals design, construct, install, service and support telecommunications equipment, systems and facilities."
2711,Barristers,"Barristers plead cases before civil, criminal and industrial courts and other tribunals."
2712,Judicial and Legal Professionals,"Judicial andLegal Professionals hear legal and other matters in courts and tribunals; interpret, analyse, administer and provide advice on the law; and draft legislation."
2713,Solicitors,"Solicitors provide legal advice, prepare and draft legal documents, and conduct negotiations on behalf of clients on matters associated with the law."
2721,Counsellors,"Counsellors provide information on vocational, relationship, social and educational difficulties and issues, and work with people to help them to identify and define their emotional issues through therapies such as cognitive behaviour therapy, interpersonal therapy and other talking therapies."
2722,Ministers of Religion,"Ministers of Religion perform spiritual functions associated with beliefs and practices of religious faiths, and provide motivation, guidance and training in religious life for the people of congregations and parishes, and the wider community. "
2724,Social Professionals,"Social Professionals research and study human behaviour, society and institutions from current and historical perspectives, and transcribe text and recorded spoken material from one language into another."
2725,Social Workers,"Social Workers assess the social needs of individuals, families and groups, assist and empower people to develop and use the skills and resources needed to resolve social and other problems, and further human wellbeing and human rights, social justice and social development."
3111,Agricultural Technicians,"Agricultural Technicians perform tests and experiments, and provide technical support to assist Agricultural Scientists in areas such as research, production, servicing and marketing."
3113,Primary Products Inspectors,"Primary Products Inspectors inspect animals, plants and agricultural produce and facilities to ensure compliance with government and industry standards with respect to quality, health and licensing."
3124,Electronic Engineering Draftspersons and Technicians,"Electronic Engineering Draftspersons and Technicians assist in electronic engineering research, design, manufacture, assembly, construction, operation and maintenance of equipment, facilities and distribution systems."
3132,Telecommunications Technical Specialists,"Telecommunications Technical Specialists develop, monitor and carry out technical support functions for telecommunications networks and install computer equipment, computer systems and microwave, telemetry, multiplexing, satellite and other radio and electromagnetic wave communication systems."
3211,Automotive Electricians,"Automotive Electricians install, maintain and repair electrical wiring and electronic components in motor vehicles."
3221,"Metal Casting, Forging and Finishing Trades Workers","Metal Casting, Forging & Finishing Trades fabricate mould patterns and form sand moulds and cores for the production of metal castings, heat and hammer metal into shape, and make, repair, coat and polish metal parts and articles."
3222,Sheetmetal Trades Workers,"Sheetmetal Trades Workers mark out, shape, form and join sheetmetal and other materials to make products and components."
3241,Panelbeaters,"Panelbeaters repair damage to metal, fibreglass and plastic body work on vehicles, and form replacement vehicle panels."
3242,Vehicle Body Builders and Trimmers,"Vehicle Body Builders and Trimmers manufacture and repair prototype production units and purpose-built vehicle bodies, and install, repair and replace the interior trim of vehicles."
3243,Vehicle Painters,"Vehicle Painters prepare surfaces of vehicles, match and mix colours and apply paint."
3321,Floor Finishers,"Floor Finishers measure, cut, install and repair soft and resilient floor coverings."
3322,Painting Trades Workers,"Painting Trades Workers apply paint, varnish, wallpaper and other finishes to protect, maintain and decorate surfaces of buildings."
3331,Glaziers,"Glaziers measure, cut, finish, fit and install flat glass and mirrors."
3333,Roof Tilers,"Roof Tilers cover roofs with tiles, sheets and shingles to form a waterproof surface."
3334,Wall and Floor Tilers,"Wall and Floor Tilers lay ceramic, clay, slate, marble and glass tiles on external and internal walls and floors to provide protective and decorative finishes."
3411,Electricians,"Electricians design, assemble, install, test, commission, diagnose, maintain and repair electrical networks, systems, circuits, equipment, components, appliances and facilities for industrial, commercial and domestic purposes, and service and repair lifts, escalators and related equipment."
3421,Airconditioning and Refrigeration Mechanics,"Airconditioning and Refrigeration Mechanics assemble, install, maintain and repair industrial, commercial and domestic airconditioning and refrigeration systems and equipment."
3422,Electrical Distribution Trades Workers,"Electrical Distribution Trades Workers prepare, install, repair, maintain and patrol electric power distribution networks."
3424,Telecommunications Trades Workers,"Telecommunications Trades Workers install, maintain and repair data transmission equipment, aerial lines, conduits, cables, radio antennae and telecommunications equipment and appliances."
3511,Bakers and Pastrycooks,"Bakers and Pastrycooks prepare and bake bread loaves and rolls, buns, cakes, biscuits and pastry goods."
3512,Butchers and Smallgoods Makers,"Butchers and Smallgoods Makers select, cut trim, prepare and arrange meat for sale and supply, and manage the processes in the production of smallgoods."
3513,Chefs,Chefs plan and organise the preparation and cooking of food in dining and catering establishments.
3514,Cooks,"Cooks prepare, season and cook food in dining and catering establishments."
3611,Animal Attendants and Trainers,"Animal Attendants and Trainers train, feed, groom and care for animals."
3613,Veterinary Nurses,Veterinary Nurses care for animals under treatment and in temporary residence at veterinary facilities and assist Veterinarians to perform procedures and operations.
3621,Florists,Florists prepare and sell floral arrangements.
3622,Gardeners,"Gardeners plant, cultivate, maintain, plan and construct parks, gardens and landscapes, and inspect, diagnose and treat trees and shrubs."
3623,Greenkeepers,"Greenkeepers establish and maintain fine turf, grassed areas and synthetic surfaces used for sporting events."
3624,Nurserypersons,"Nurserypersons propagate and cultivate trees, shrubs, and ornamental and flowering plants in plant nurseries."
3911,Hairdressers,"Hairdressers cut, style, colour, straighten and permanently wave hair, and treat hair and scalp conditions."
3922,Graphic Pre-press Trades Workers,"Graphic Pre-press Trades Workers manipulate, set and compose text and graphics into a format suitable for printing and other visual media."
3923,Printers,"Printers set up and operate letterpress, lithographic, flexographic, gravure, newspaper, instant, digital and offset printing presses."
3933,Upholsterers,"Upholsterers make, rebuild and repair upholstered articles such as chairs, sofas, beds and mattresses."
3941,Cabinetmakers,Cabinetmakers fabricate and repair wooden furniture.
3991,Boat Builders and Shipwrights,"Boat Builders and Shipwrights construct, fit out and repair boats and ships."
3994,Jewellers,"Jewellers make and repair jewellery such as rings, brooches, chains and bracelets, craft objects out of precious metals, and cut, shape and polish rough gemstones to produce fashion and industrial jewels."
3996,Signwriters,"Signwriters design, fabricate and paint signs for displays, buildings, hoardings, boats and structures."
4111,Ambulance Officers and Paramedics,"Ambulance Officers and Paramedics provide emergency health care and transport for injured, sick, infirm and aged persons to medical facilities."
4113,Diversional Therapists,"Diversional Therapists design and implement recreation and leisure-based activity programs to support, challenge and enhance the psychological, spiritual, social, emotional and physical wellbeing of individuals."
4115,Indigenous Health Workers,Indigenous Health Workers assist with the coordination and provision of health care delivery to Indigenous communities.
4116,Massage Therapists,"Massage Therapists perform therapeutic massage and administer body treatments for health, fitness and remedial purposes."
4221,Education Aides,"Education Aides perform non-teaching duties to assist teaching staff in schools, provide care and supervision for children in preschools, and provide assistance to Aboriginal and Torres Strait Islander students and their teachers."
4231,Aged and Disabled Carers,"Aged and Disabled Carers provide general household assistance, emotional support, care and companionship for aged and disabled persons in their own homes."
4232,Dental Assistants,"Dental Assistants prepare patients for dental examination and assist Dental Practitioners, Hygienists and Therapists in providing care and treatment."
4234,Special Care Workers,"Special Care Workers provide care and supervision for children in residential childcare establishments and correctional institutions, and provide care and support to people in refuges."
4312,Cafe Workers,Cafe Workers sell and serve food and beverages for consumption on premises in cafes.
4313,Gaming Workers,Gaming Workers provide gaming services within casinos and other gambling establishments.
4314,Hotel Service Managers,Hotel Service Managers supervise and coordinate the activities of hotel service workers.
4315,Waiters,"Waiters serve food and beverages in hotels, restaurants and clubs."
4421,Prison Officers,Prison Officers supervise and control the activities of inmates in prisons and other correctional institutions.
4511,Beauty Therapists,"Beauty Therapists provide skin analyses, facial therapies, skin-care treatments and body treatments such as massage to clients."
4512,Driving Instructors,Driving Instructors instruct individuals and groups in the theory and application of driving motor vehicles.
4513,Funeral Workers,Funeral Workers prepare bodies for viewing and burial and arrange and conduct funerals.
4514,"Gallery, Museum and Tour Guides","Gallery, Museum and Tour Guides direct and guide visitors in galleries and museums, and escort visitors on sightseeing, educational and other tours."
4517,Travel Attendants,"Travel Attendants provide services for the safety and comfort of passengers in aircraft, ships and railway sleeping cars."
4521,Fitness Instructors,"Fitness Instructors direct, instruct and guide individuals and groups in the pursuit of physical fitness and wellbeing."
4522,Outdoor Adventure Guides,"Outdoor Adventure Guides direct, instruct and guide individuals and groups in outdoor adventure activities such as bungy jumping, fishing and hunting, mountaineering, trekking and whitewater rafting."
4523,"Sports Coaches, Instructors and Officials","Sports Coaches, Instructors and Officials coach, train and instruct participants in sports, and officiate at sporting events."
4524,Sportspersons,Sportspersons participate in sporting events for monetary gain either as individuals or as members of a team.
5121,Office Managers,Office Managers organise and control the functions and resources of offices such as administrative systems and office personnel.
5211,Personal Assistants,"Personal Assistants perform liaison, coordination and organisational tasks in support of Managers and Professionals."
5311,General Clerks,General Clerks perform a range of clerical and administrative tasks.
5412,Information Officers,"Inquiry Clerks respond to personal, written and telephone enquiries and complaints about the organisation's goods and services, provide information and refer people to other sources."
5512,Bookkeepers,Bookkeepers maintain and evaluate records of financial transactions in account books and computerised accounting systems.
5513,Payroll Clerks,Payroll Clerks prepare payrolls and related records for employee salaries and statutory record-keeping purposes.
5521,Bank Workers,"Bank Workers receive deposits and pay out money in financial and commercial institutions, keep records of transactions, issue receipts and cash cheques."
5522,Credit and Loans Officers,"Credit and Loans Officers analyse, evaluate and process credit and loan applications."
5611,Betting Clerks,"Betting Clerks take bets from customers at betting agencies, over the telephone and on course."
5613,Filing and Registry Clerks,Filing and Registry Clerks process and handle information and documents to maintain access to and security of database and record management systems.
5614,Mail Sorters,"Mail Sorters receive, sort and despatch mail in organisations and postal sorting centres."
5615,Survey Interviewers,Survey Interviewers interview people and record their responses to survey and market research questions on a range of topics.
5616,Switchboard Operators,"Switchboard Operators operate telecommunication switchboards and consoles to assist callers establish telephone connections, and receive caller enquiries and fault reports."
5912,Transport and Despatch Clerks,"Transport and Despatch Clerks verify and maintain records of incoming and outgoing goods, prepare goods for despatch, arrange clearance and collection of imported cargo from customs and bond stores, and arrange shipment of cargo for export."
5991,Conveyancers and Legal Executives,"Conveyancers and Legal Executives act for and on behalf of clients in the areas of property transfer, company and business law, trusts, wills, probate and litigation."
5992,Court and Legal Clerks,"Court and Legal Clerks provide administrative and operational support to Legal Professionals by performing clerical work associated with the functions of courts, legal practices and the administration of trusts and estates."
5993,Debt Collectors,"Debt Collectors collect consumer, commercial, insurance and other forms of debt for clients, make arrangements to settle overdue accounts, formalise payment arrangements and follow up until accounts are fully paid."
5994,Human Resource Clerks,"Human Resource Clerks maintain and update personnel records such as information on transfers and promotions, employee leave taken and accumulated, salaries, superannuation and taxation, qualifications and training."
5995,Inspectors and Regulatory Officers,Inspectors and Regulatory Officers administer and enforce government and corporate regulations and standards.
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors","Insurance Investigators and Loss Adjusters conduct investigations into insurance claims to ensure their validity, inspect and assess the damage and loss to insured properties and businesses, estimate insurance costs, and inspect insured properties to evaluate conditions affecting underwriting standards."
5997,Library Assistants,"Library Assistants issue, receive and shelve library items and maintain associated records."
6111,"Auctioneers, and Stock and Station Agents","Auctioneers, and Stock and Station Agents sell property at auction, and advise and represent farmers in business transactions such as buying and selling livestock, rural property, and goods and services."
6112,Insurance Agents,Insurance Agents represent insurance companies in selling insurance to clients.
6113,Sales Representatives,Sales Representatives represent companies to sell their goods and business services to wholesale and retail establishments.
6211,Sales Assistants ,"Sales Assistants sell goods and services, such as food, clothing, hardware, household appliances, office supplies and cosmetics, in retail and wholesale establishments."
6214,Pharmacy Sales Assistants,"Pharmacy Sales Assistants sell pharmaceutical goods, toiletries and related goods in retail pharmacies."
6215,Retail Supervisors,Retail Supervisors supervise and coordinate the activities of retail sales workers.
6217,Street Vendors and Related Salespersons,"Street Vendors and Related Salespersons sell goods and services on established routes, door-to-door, and at street and market locations."
6311,Checkout Operators and Office Cashiers,"Checkout Operators and Office Cashiers operate cash registers and receive payments from customers, and issue receipts and return change due."
6393,Telemarketers,"Telemarketers telephone existing and prospective customers to promote goods and services, and obtain sales and arrange sales visits."
6394,Ticket Salespersons,"Ticket Salespersons sell tickets and make reservations for services such as travel and admission to sporting and entertainment venues, and collect fares on transport vehicles."
6395,Visual Merchandisers,"Visual Merchandisers plan and install internal, window and fixed displays to show goods to their best advantage."
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators","Clay, Concrete, Glass & Stone Machine Operators operate machines to manufacture and finish a variety of clay, concrete, glassware and stone products by extruding, shaping, mixing, grinding, cutting and other processes."
7112,Industrial Spraypainters,Industrial Spraypainters operate spray painting equipment to paint and apply other industrial coatings to manufactured items.
7113,Paper and Wood Processing Machine Operators,"Paper and Wood Processing Machine Operators operate machines to manufacture paper packaging and other paper products, fibreboard stock, logs, plywood, particle board, solid laminate and similar timber products."
7114,Photographic Developers and Printers,"Photographic Developers and Printers edit and adjust digital images, develop photographic film, and print photographic images from digital media, negatives and positives using computer software, fully automatic equipment and by separate processes."
7115,Plastics and Rubber Production Machine Operators,Plastics and Rubber Production Machine Operators operate machines to manufacture and finish plastic and rubber products.
7116,Sewing Machinists,Sewing Machinists operate industrial sewing machines to sew and finish garments and soft furnishings such as curtains.
7117,Textile and Footwear Production Machine Operators,"Textile and Footwear Production Machine Operators operate machines to process raw hides and skins, raw textile fibres, and dye, weave and knit fibres for use in textile and footwear production."
7121,"Crane, Hoist and Lift Operators","Crane, Hoist and Lift Operators operate stationary and mobile cranes, hoists, lifts and winches to lift, move and place materials, equipment and people in areas such as building sites, factories, mines, sawmills, wharves and shipyards."
7123,Engineering Production Workers,"Engineering Production Systems Workers perform a range of production process tasks to refine and treat metals and mineral ore, fire ceramics, and operate plant to produce and finish metal products such as rods, tubing and structural shapes, and moulds for casting."
7213,Forklift Drivers,"Forklift Drivers operate forklifts to move bulk materials, containers, crates, palletised goods, cartons and bales."
7311,Automobile Drivers,Automobile Drivers drive motor cars to transport passengers.
7312,Bus and Coach Drivers,Bus and Coach Drivers drive buses and coaches to transport passengers.
7321,Delivery Drivers,Delivery Drivers drive vans and cars to deliver goods.
7331,Truck Drivers,"Truck Drivers drive heavy trucks, removal vans, tankers and tow trucks to transport bulky goods and liquids."
7411,Storepersons,"Storepersons receive, handle and despatch goods in stores and warehouses."
8111,Car Detailers,"Car Detailers wash and clean exteriors and interiors of motor vehicles, and touch up paint work, glass and upholstery to prepare them for sale or rent."
8112,Commercial Cleaners,"Commercial Cleaners clean offices, residential complexes, hospitals, schools, industrial work areas, industrial machines, construction sites and other commercial premises using heavy duty cleaning equipment."
8113,Domestic Cleaners,"Domestic Cleaners clean and tidy private dwellings such as houses, units, flats, apartments and townhouses."
8114,Housekeepers,"Housekeepers perform cleaning and housekeeping duties in hotels, motels and other commercial premises, and in homes."
8115,Laundry Workers,"Laundry Workers sort, clean, fold, iron and package linen, clothing and other items in laundries and drycleaning establishments, and homes."
8212,Concreters,"Concreters pour, spread, smooth and finish concrete for structures such as floors, stairs, ramps, footpaths and bridges."
8213,Fencers,Fencers erect and repair fences and gates.
8215,Paving and Surfacing Labourers,"Paving and Surfacing Labourers perform routine tasks associated in laying bituminous and other paving materials on roads, runways, parking areas and other surfaces to be paved."
8216,Railway Track Workers,"Railway Track Workers lay and repair tracks for railways, tramways, quarries and mines, and install and repair signals and other equipment."
8311,Food and Drink Factory Workers,Food and Drink Factory Workers perform routine tasks in manufacturing food and beverages.
8313,"Meat, Poultry and Seafood Process Workers","Meat, Poultry and Seafood Process Workers slaughter and eviscerate poultry, and process, grade and package meat, poultry, fish and shellfish."
8321,Packers,"Packers weigh, wrap, seal and label chocolate, fruit, vegetables, meat, seafood and other products."
8322,Product Assemblers,"Product Assemblers put together components and subassemblies that go into the production of metal products, electrical and electronic equipment, jewellery and precious metal articles, and joinery products."
8399,Factory Process Workers,"Factory Process Workers can work in Cement and Concrete Plants, Chemical Plant s, Clay Processing Factories, Fabric and Textile Factories, Footwear Factories, Glass Processing or Hide and Skin Processing."
8412,Crop Farm Workers,"Crop Farm Workers perform routine tasks in producing crops such as fruit, nuts, grains and vegetables."
8414,Garden and Nursery Labourers,"Garden and Nursery Labourers perform a variety of routine tasks in propagating, cultivating and maintaining plants in gardens and horticultural nurseries."
8415,Livestock Farm Workers,"Livestock Farm Workers perform routine tasks in livestock, egg and wool production."
8416,Mixed Crop and Livestock Farm Workers,Mixed Crop and Livestock Farm Workers perform routine tasks in crop cultivation and animal production.
8511,Fast Food Cooks,Fast Food Cooks prepare foods in fast food establishments.
8512,Food Trades Assistants,"Food Trades Assistants assist Food Trades Workers by performing routine food preparation, cleaning and storage tasks."
8513,Kitchenhands,"Kitchenhands assist kitchen and service staff in preparing and serving food, and clean food preparation and service areas."
8911,Freight and Furniture Handlers,"Freight and Furniture Handlers load and unload trucks, containers and rail cars, and transfer cargo between ships and other forms of transport and storage facilities."
8912,Shelf Fillers,Shelf Fillers fill up shelves and display areas in stores and supermarkets.
8991,Caretakers,"Caretakers maintain and clean residential buildings, schools, offices, holiday camps and caravan parks."
8993,Handypersons,"Handypersons clean, paint, repair and maintain buildings, grounds and facilities."
8994,Motor Vehicle Parts and Accessories Fitters,Motor Vehicle Parts and Accessories Fitters fit and replace parts and accessories on motor vehicles.
8996,Recycling and Rubbish Collectors,"Recycling and Rubbish Collectors collect household, commercial and industrial waste for recycling and disposal."
8997,Vending Machine Attendants,Vending Machine Attendants stock and maintain vending and amusement machines and collect money from coin boxes.
131112,Sales and Marketing Manager,"Sales and Marketing Managers plan, organise, direct, control and coordinate advertising, public relations, sales and marketing activities within organisations. "
131113,Advertising Manager,Advertising Managers plans and direct the advertising activities within an organisation.
131114,Public Relations Manager,Public Relations Managers plan and direct the public relations activities within an organisation.
133512,Production Manager in Manufacturing,Production Managers in Manufacturing plan and direct the manufacturing activities of an organisation including physical and human resources.
133513,Production Manager in Mining,Production Managers in Mining plan and direct the production activities of a mining operation including physical and human resources.
134411,Faculty Head,"Faculty Heads plan and direct the educational and administrative aspects of a department, faculty or school within a university or other tertiary education institution."
135111,Chief Information Officer,"Chief Information Officers plan and direct the ICT strategies, plans and operations of an organisation to ensure the ICT infrastructure supports the organisation's overall operations and priorities."
139912,Environmental Manager,"Environmental Managers plan and direct the development and implementation of an environmental management system within an organisation by identifying, solving and alleviating environmental issues, such as pollution and waste treatment, in compliance with environmental legislation and to ensure corporate sustainable development."
139913,Laboratory Manager,Plans and direct the operations of a research or production laboratory.
139914,Quality Assurance Manager,Plans and direct the deployment of quality systems and certification processes within an organisation.
142114,Hair or Beauty Salon Manager,Organises and controls the operations of a hairdressing or beauty salon. Registration or licensing may be required.
142115,Post Office Manager,Organises and controls the operations of a post office.
149211,Call or Contact Centre Manager,Organises and controls the operations of a call or contact centre.
