ANZSCO_Code,ANZSCO_Title,Specialist_Task,% of time spent on task,Specialist_Cluster,% of time spent on cluster,Cluster_Family,% of time spent on family
1111,Chief Executives and Managing Directors,Draft legislation or regulations,0.02044519335,"Prepare forms, legislation or proposals",0.02044519335,"Records, documentation, reports and research",0.05039423064
1111,Chief Executives and Managing Directors,Present information to the public,0.01753625849,Present information and news to the public,0.01753625849,"Records, documentation, reports and research",0.05039423064
1111,Chief Executives and Managing Directors,Prepare operational budgets,0.0144050862,Manage operational budgets,0.0144050862,Business operations and financial activities,0.5217611207
1111,Chief Executives and Managing Directors,Advise others on legal or regulatory compliance matters,0.0124127788,"Respond to legal, regulatory and compliance issues",0.0124127788,"Records, documentation, reports and research",0.05039423064
1111,Chief Executives and Managing Directors,Represent the organisation in external relations,0.01214930243,Collaborate with stakeholders,0.01684730133,Communication and collaboration,0.1068608666
1111,Chief Executives and Managing Directors,Liaise between departments or other groups to improve function or communication,0.01016148676,Communicate and collaborate,0.09001356522,Communication and collaboration,0.1068608666
1111,Chief Executives and Managing Directors,Coordinate special events or programs,0.008748322536,Coordinate recreational activities or special events,0.008748322536,Recreation and sporting events,0.008748322536
1111,Chief Executives and Managing Directors,"Prepare financial documents, reports or budgets",0.006611849582,"Undertake financial reporting, documentation and analysis",0.006611849582,Business operations and financial activities,0.5217611207
1111,Chief Executives and Managing Directors,Prepare operational progress or status reports,0.006611849582,Manage or document operational procedure or process,0.006611849582,Operating procedures and processes,0.006611849582
1111,Chief Executives and Managing Directors,Coordinate with external parties to exchange information,0.004697998909,Collaborate with stakeholders,0.01684730133,Communication and collaboration,0.1068608666
1111,Chief Executives and Managing Directors,"Promote goods, services, or programs",0.002651747052,Conduct sales and marketing activities ,0.002651747052,Sales and marketing,0.002651747052
1112,General Managers,"Direct organisational operations, projects or services",0.2973707824,"Manage services, staff or activities",0.3921407181,Business operations and financial activities,0.6145569093
1112,General Managers,"Provide basic information to guests, visitors, or clients",0.1302229574,Provide customer service and communicate information,0.1302229574,Customer service,0.1302229574
1112,General Managers,"Direct sales, marketing or customer service activities",0.09476993572,"Manage services, staff or activities",0.3921407181,Business operations and financial activities,0.6145569093
1112,General Managers,Prepare staff schedules or work assignments,0.08714312279,Schedule staff or assign work,0.08714312279,Human resources,0.1665042586
1112,General Managers,Monitor performance of organisational members or partners,0.05300264706,Undertake human resources activities ,0.05300264706,Human resources,0.1665042586
1112,General Managers,Direct financial operations,0.04499101679,"Manage, monitor and undertake financial activities",0.04499101679,Business operations and financial activities,0.6145569093
1112,General Managers,Analyse data to inform operational decisions or activities,0.04319279133,Use data to inform operational decisions,0.04319279133,"Data, analytics, and databases",0.04319279133
1112,General Managers,Analyse financial records to improve efficiency,0.04319279133,Verify and maintain financial records,0.04319279133,Business operations and financial activities,0.6145569093
1112,General Managers,Implement organisational process or policy changes,0.04185189933,Establish organisational policies or programs,0.07183995732,Business operations and financial activities,0.6145569093
1112,General Managers,Determine pricing or monetary policies,0.04084669986,Conduct financial transactions or processes,0.04084669986,Business operations and financial activities,0.6145569093
1112,General Managers,Develop marketing plans or strategies,0.02967624066,Develop marketing plans,0.02967624066,Sales and marketing,0.02967624066
1112,General Managers,Plan facility layouts or designs,0.01965120973,Plan and coordinate work operations,0.01965120973,Business operations and financial activities,0.6145569093
1112,General Managers,Develop organisational goals or objectives,0.01404677093,Establish organisational policies or programs,0.07183995732,Business operations and financial activities,0.6145569093
1112,General Managers,Develop organisational policies or programs,0.01404677093,Establish organisational policies or programs,0.07183995732,Business operations and financial activities,0.6145569093
1112,General Managers,Manage environmental sustainability projects,0.01395232653,Undertake environmental sustainability planning or activities,0.01395232653,Environmental management,0.01395232653
1112,General Managers,Conduct employee training programs,0.0131792444,Train staff,0.0131792444,Human resources,0.1665042586
1112,General Managers,Hire staff,0.0131792444,Undertake recruitment activities,0.0131792444,Human resources,0.1665042586
1112,General Managers,Recommend organisational process or policy changes,0.001894516133,Establish organisational policies or programs,0.07183995732,Business operations and financial activities,0.6145569093
1112,General Managers,Determine resource needs,0.001894516133,Manage operational budgets,0.001894516133,Business operations and financial activities,0.6145569093
1112,General Managers,Manage construction activities,0.001894516133,Manage construction or production projects,0.001894516133,Work activities preparation,0.001894516133
1213,Livestock Farmers,Manage agricultural or forestry operations,0.3526511405,Undertake agricultural or forestry operations,0.3526511405,Agriculture and animals,0.3598001158
1213,Livestock Farmers,"Inspect condition, or functioning, of facilities or equipment",0.1040449763,"Inspect, test or maintain equipment or systems",0.1040449763,Quality control and inspections,0.1040449763
1213,Livestock Farmers,Monitor organisational compliance with regulations,0.07487750607,"Monitor compliance with regulations, standards or procedures",0.07487750607,Safety and hazard management,0.07487750607
1213,Livestock Farmers,"Procure materials, equipment or other resources",0.0682918793,"Procure materials, supplies, or stock",0.0682918793,Business operations and financial activities,0.1708709659
1213,Livestock Farmers,Monitor resources,0.05394710479,Manage and handle resources and materials,0.05394710479,Work activities preparation,0.1049101834
1213,Livestock Farmers,Evaluate quality of materials or products,0.0447329768,Evaluate physical or chemical characteristics of material,0.0447329768,Work activities preparation,0.1049101834
1213,Livestock Farmers,Implement organisational process or policy changes,0.03303895328,Establish organisational policies or programs,0.03303895328,Business operations and financial activities,0.1708709659
1213,Livestock Farmers,Monitor facilities or operational systems,0.03228024016,"Manage services, staff or activities",0.03228024016,Business operations and financial activities,0.1708709659
1213,Livestock Farmers,Perform manual service or maintenance tasks,0.03228024016,Perform maintenance or inspections,0.03228024016,Production processes and machinery,0.03228024016
1213,Livestock Farmers,Analyse data to inform operational decisions or activities,0.03117912819,Use data to inform operational decisions,0.03117912819,"Data, analytics, and databases",0.03117912819
1213,Livestock Farmers,Conduct employee training programs,0.02624078315,Train staff,0.02624078315,Human resources,0.070180883
1213,Livestock Farmers,Maintain staff records,0.01977039387,Undertake human resources activities ,0.01977039387,Human resources,0.070180883
1213,Livestock Farmers,Maintain operational records,0.01977039387,Maintain operational and production records,0.01977039387,"Records, documentation, reports and research",0.01977039387
1213,Livestock Farmers,Direct facility maintenance or repair activities,0.01792967709,Maintain facilities and conduct repairs,0.01792967709,Cleaning and maintenance,0.01792967709
1213,Livestock Farmers,"Negotiate contracts for transportation, distribution or logistics services",0.01527821604,Negotiate purchases or contracts,0.03055643209,Business operations and financial activities,0.1708709659
1213,Livestock Farmers,Negotiate sales or lease agreements for goods or services,0.01527821604,Negotiate purchases or contracts,0.03055643209,Business operations and financial activities,0.1708709659
1213,Livestock Farmers,"Train employees on environmental awareness, conservation or safety topics",0.01415593017,Teach environmental awareness and sustainability,0.01415593017,Environmental management,0.01415593017
1213,Livestock Farmers,Supervise employees,0.01208485299,Supervise staff ,0.01208485299,Human resources,0.070180883
1213,Livestock Farmers,Hire staff,0.01208485299,Undertake recruitment activities,0.01208485299,Human resources,0.070180883
1213,Livestock Farmers,"Perform manual agricultural, aquacultural or horticultural tasks",0.007148975352,Undertake agricultural processes and tasks,0.007148975352,Agriculture and animals,0.3598001158
1213,Livestock Farmers,Manage construction activities,0.006230101844,Manage construction or production projects,0.006230101844,Work activities preparation,0.1049101834
1213,Livestock Farmers,"Prepare financial documents, reports or budgets",0.003351730528,"Undertake financial reporting, documentation and analysis",0.003351730528,Business operations and financial activities,0.1708709659
1213,Livestock Farmers,Prepare operational budgets,0.003351730528,Manage operational budgets,0.003351730528,Business operations and financial activities,0.1708709659
1214,Mixed Crop and Livestock Farmers,Manage agricultural or forestry operations,0.3526511405,Undertake agricultural or forestry operations,0.3526511405,Agriculture and animals,0.3598001158
1214,Mixed Crop and Livestock Farmers,"Inspect condition, or functioning, of facilities or equipment",0.1040449763,"Inspect, test or maintain equipment or systems",0.1040449763,Quality control and inspections,0.1040449763
1214,Mixed Crop and Livestock Farmers,Monitor organisational compliance with regulations,0.07487750607,"Monitor compliance with regulations, standards or procedures",0.07487750607,Safety and hazard management,0.07487750607
1214,Mixed Crop and Livestock Farmers,"Procure materials, equipment or other resources",0.0682918793,"Procure materials, supplies, or stock",0.0682918793,Business operations and financial activities,0.1708709659
1214,Mixed Crop and Livestock Farmers,Monitor resources,0.05394710479,Manage and handle resources and materials,0.05394710479,Work activities preparation,0.1049101834
1214,Mixed Crop and Livestock Farmers,Evaluate quality of materials or products,0.0447329768,Evaluate physical or chemical characteristics of material,0.0447329768,Work activities preparation,0.1049101834
1214,Mixed Crop and Livestock Farmers,Implement organisational process or policy changes,0.03303895328,Establish organisational policies or programs,0.03303895328,Business operations and financial activities,0.1708709659
1214,Mixed Crop and Livestock Farmers,Monitor facilities or operational systems,0.03228024016,"Manage services, staff or activities",0.03228024016,Business operations and financial activities,0.1708709659
1214,Mixed Crop and Livestock Farmers,Perform manual service or maintenance tasks,0.03228024016,Perform maintenance or inspections,0.03228024016,Production processes and machinery,0.03228024016
1214,Mixed Crop and Livestock Farmers,Analyse data to inform operational decisions or activities,0.03117912819,Use data to inform operational decisions,0.03117912819,"Data, analytics, and databases",0.03117912819
1214,Mixed Crop and Livestock Farmers,Conduct employee training programs,0.02624078315,Train staff,0.02624078315,Human resources,0.070180883
1214,Mixed Crop and Livestock Farmers,Maintain staff records,0.01977039387,Undertake human resources activities ,0.01977039387,Human resources,0.070180883
1214,Mixed Crop and Livestock Farmers,Maintain operational records,0.01977039387,Maintain operational and production records,0.01977039387,"Records, documentation, reports and research",0.01977039387
1214,Mixed Crop and Livestock Farmers,Direct facility maintenance or repair activities,0.01792967709,Maintain facilities and conduct repairs,0.01792967709,Cleaning and maintenance,0.01792967709
1214,Mixed Crop and Livestock Farmers,"Negotiate contracts for transportation, distribution or logistics services",0.01527821604,Negotiate purchases or contracts,0.03055643209,Business operations and financial activities,0.1708709659
1214,Mixed Crop and Livestock Farmers,Negotiate sales or lease agreements for goods or services,0.01527821604,Negotiate purchases or contracts,0.03055643209,Business operations and financial activities,0.1708709659
1214,Mixed Crop and Livestock Farmers,"Train employees on environmental awareness, conservation or safety topics",0.01415593017,Teach environmental awareness and sustainability,0.01415593017,Environmental management,0.01415593017
1214,Mixed Crop and Livestock Farmers,Supervise employees,0.01208485299,Supervise staff ,0.01208485299,Human resources,0.070180883
1214,Mixed Crop and Livestock Farmers,Hire staff,0.01208485299,Undertake recruitment activities,0.01208485299,Human resources,0.070180883
1214,Mixed Crop and Livestock Farmers,"Perform manual agricultural, aquacultural or horticultural tasks",0.007148975352,Undertake agricultural processes and tasks,0.007148975352,Agriculture and animals,0.3598001158
1214,Mixed Crop and Livestock Farmers,Manage construction activities,0.006230101844,Manage construction or production projects,0.006230101844,Work activities preparation,0.1049101834
1214,Mixed Crop and Livestock Farmers,"Prepare financial documents, reports or budgets",0.003351730528,"Undertake financial reporting, documentation and analysis",0.003351730528,Business operations and financial activities,0.1708709659
1214,Mixed Crop and Livestock Farmers,Prepare operational budgets,0.003351730528,Manage operational budgets,0.003351730528,Business operations and financial activities,0.1708709659
1321,Corporate Services Managers,"Direct organisational operations, projects or services",0.2973707824,"Manage services, staff or activities",0.3921407181,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,"Provide basic information to guests, visitors, or clients",0.1302229574,Provide customer service and communicate information,0.1302229574,Customer service,0.1302229574
1321,Corporate Services Managers,"Direct sales, marketing or customer service activities",0.09476993572,"Manage services, staff or activities",0.3921407181,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,Prepare staff schedules or work assignments,0.08714312279,Schedule staff or assign work,0.08714312279,Human resources,0.1665042586
1321,Corporate Services Managers,Monitor performance of organisational members or partners,0.05300264706,Undertake human resources activities ,0.05300264706,Human resources,0.1665042586
1321,Corporate Services Managers,Direct financial operations,0.04499101679,"Manage, monitor and undertake financial activities",0.04499101679,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,Analyse data to inform operational decisions or activities,0.04319279133,Use data to inform operational decisions,0.04319279133,"Data, analytics, and databases",0.04319279133
1321,Corporate Services Managers,Analyse financial records to improve efficiency,0.04319279133,Verify and maintain financial records,0.04319279133,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,Implement organisational process or policy changes,0.04185189933,Establish organisational policies or programs,0.07183995732,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,Determine pricing or monetary policies,0.04084669986,Conduct financial transactions or processes,0.04084669986,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,Develop marketing plans or strategies,0.02967624066,Develop marketing plans,0.02967624066,Sales and marketing,0.02967624066
1321,Corporate Services Managers,Plan facility layouts or designs,0.01965120973,Plan and coordinate work operations,0.01965120973,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,Develop organisational goals or objectives,0.01404677093,Establish organisational policies or programs,0.07183995732,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,Develop organisational policies or programs,0.01404677093,Establish organisational policies or programs,0.07183995732,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,Manage environmental sustainability projects,0.01395232653,Undertake environmental sustainability planning or activities,0.01395232653,Environmental management,0.01395232653
1321,Corporate Services Managers,Conduct employee training programs,0.0131792444,Train staff,0.0131792444,Human resources,0.1665042586
1321,Corporate Services Managers,Hire staff,0.0131792444,Undertake recruitment activities,0.0131792444,Human resources,0.1665042586
1321,Corporate Services Managers,Recommend organisational process or policy changes,0.001894516133,Establish organisational policies or programs,0.07183995732,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,Determine resource needs,0.001894516133,Manage operational budgets,0.001894516133,Business operations and financial activities,0.6145569093
1321,Corporate Services Managers,Manage construction activities,0.001894516133,Manage construction or production projects,0.001894516133,Work activities preparation,0.001894516133
1322,Finance Managers,Supervise employees,0.2392577328,Supervise staff ,0.2392577328,Human resources,0.3410211511
1322,Finance Managers,Direct financial operations,0.1498457913,"Manage, monitor and undertake financial activities",0.1791062211,Business operations and financial activities,0.4451269789
1322,Finance Managers,Advise others on business or operational matters,0.1104314416,Communicate and collaborate,0.1304340602,Communication and collaboration,0.1304340602
1322,Finance Managers,Maintain knowledge of current developments in area of expertise,0.0930266865,Undertake or provide professional skill and knowledge development,0.0930266865,Human resources,0.3410211511
1322,Finance Managers,Approve expenditures,0.0858991253,Manage operational budgets,0.1061189066,Business operations and financial activities,0.4451269789
1322,Finance Managers,Collect payments for goods or services,0.0760711197,Conduct financial transactions or processes,0.08051601957,Business operations and financial activities,0.4451269789
1322,Finance Managers,Evaluate employee performance,0.03167152825,Staff performance management,0.03167152825,Performance evaluation and efficency improvement,0.03167152825
1322,Finance Managers,Monitor flow of cash or other resources,0.02926042985,"Manage, monitor and undertake financial activities",0.1791062211,Business operations and financial activities,0.4451269789
1322,Finance Managers,Monitor organisational compliance with regulations,0.02926042985,"Monitor compliance with regulations, standards or procedures",0.02926042985,Safety and hazard management,0.02926042985
1322,Finance Managers,Analyse financial records to improve efficiency,0.02421698212,Verify and maintain financial records,0.02778759559,Business operations and financial activities,0.4451269789
1322,Finance Managers,Establish interpersonal business relationships to facilitate work activities,0.02000261866,Communicate and collaborate,0.1304340602,Communication and collaboration,0.1304340602
1322,Finance Managers,Recommend organisational process or policy changes,0.01786693746,Establish organisational policies or programs,0.02676575999,Business operations and financial activities,0.4451269789
1322,Finance Managers,Determine resource needs,0.01786693746,Manage operational budgets,0.1061189066,Business operations and financial activities,0.4451269789
1322,Finance Managers,"Prepare financial documents, reports or budgets",0.01358702919,"Undertake financial reporting, documentation and analysis",0.01890901866,Business operations and financial activities,0.4451269789
1322,Finance Managers,Prepare reports related to compliance matters,0.01272728453,Prepare or manage compliance documentation,0.01272728453,"Records, documentation, reports and research",0.01272728453
1322,Finance Managers,"Develop operating strategies, plans or procedures",0.00889882253,"Develop operational strategies, plans or procedures",0.00889882253,Operating procedures and processes,0.009758567196
1322,Finance Managers,Develop organisational policies or programs,0.00889882253,Establish organisational policies or programs,0.02676575999,Business operations and financial activities,0.4451269789
1322,Finance Managers,Conduct employee training programs,0.00873673173,Train staff,0.00873673173,Human resources,0.3410211511
1322,Finance Managers,Analyse financial records to improve budgeting or planning,0.005321989465,"Undertake financial reporting, documentation and analysis",0.01890901866,Business operations and financial activities,0.4451269789
1322,Finance Managers,Determine pricing or monetary policies,0.004444899865,Conduct financial transactions or processes,0.08051601957,Business operations and financial activities,0.4451269789
1322,Finance Managers,Manage control system activities in organisations,0.003570613465,"Manage services, staff or activities",0.003570613465,Business operations and financial activities,0.4451269789
1322,Finance Managers,Conduct financial or regulatory audits,0.003570613465,Verify and maintain financial records,0.02778759559,Business operations and financial activities,0.4451269789
1322,Finance Managers,Administer compensation or benefits programs,0.002352843866,Adminster insurance or compensation programs,0.002352843866,Business operations and financial activities,0.4451269789
1322,Finance Managers,Prepare operational budgets,0.002352843866,Manage operational budgets,0.1061189066,Business operations and financial activities,0.4451269789
1322,Finance Managers,Compile operational data,0.0008597446663,Manage or document operational procedure or process,0.0008597446663,Operating procedures and processes,0.009758567196
1323,Human Resource Managers,Manage human resources activities,0.281199874,Undertake human resources activities ,0.4180166998,Human resources,0.6075938278
1323,Human Resource Managers,Liaise between departments or other groups to improve function or communication,0.1866651538,Communicate and collaborate,0.1866651538,Communication and collaboration,0.2212415173
1323,Human Resource Managers,Communicate organisational policies and procedures,0.1068458195,Undertake human resources activities ,0.4180166998,Human resources,0.6075938278
1323,Human Resource Managers,Supervise employees,0.07251361783,Supervise staff ,0.07251361783,Human resources,0.6075938278
1323,Human Resource Managers,Administer compensation or benefits programs,0.04128758558,Adminster insurance or compensation programs,0.04128758558,Business operations and financial activities,0.07523273703
1323,Human Resource Managers,Hire staff,0.03950564985,Undertake recruitment activities,0.05499249437,Human resources,0.6075938278
1323,Human Resource Managers,Negotiate labour disputes,0.03446763531,Resolve human resources issues,0.03446763531,Human resources,0.6075938278
1323,Human Resource Managers,Compile operational data,0.02997100625,Manage or document operational procedure or process,0.02997100625,Operating procedures and processes,0.02997100625
1323,Human Resource Managers,Maintain staff records,0.02997100625,Undertake human resources activities ,0.4180166998,Human resources,0.6075938278
1323,Human Resource Managers,Recommend organisational process or policy changes,0.02869398372,Establish organisational policies or programs,0.02869398372,Business operations and financial activities,0.07523273703
1323,Human Resource Managers,Advise others on legal or regulatory compliance matters,0.02869398372,"Respond to legal, regulatory and compliance issues",0.02869398372,"Records, documentation, reports and research",0.03487965491
1323,Human Resource Managers,"Interview employees, customers or others to collect information",0.02558276572,Communicate with others to coordinate work,0.02558276572,Communication and collaboration,0.2212415173
1323,Human Resource Managers,Maintain knowledge of current developments in area of expertise,0.01950782332,Undertake or provide professional skill and knowledge development,0.02106485719,Human resources,0.6075938278
1323,Human Resource Managers,Recruit staff,0.01548684453,Undertake recruitment activities,0.05499249437,Human resources,0.6075938278
1323,Human Resource Managers,Analyse data to inform staffing decisions,0.009275732395,Use data to inform operational decisions,0.01026037239,"Data, analytics, and databases",0.01026037239
1323,Human Resource Managers,Represent the organisation in external relations,0.008993597862,Collaborate with stakeholders,0.008993597862,Communication and collaboration,0.2212415173
1323,Human Resource Managers,Estimate labour requirements,0.008096349996,"Estimate labour, materials and project costs",0.008096349996,Construction,0.008096349996
1323,Human Resource Managers,Coordinate special events or programs,0.006538863063,Coordinate recreational activities or special events,0.006538863063,Recreation and sporting events,0.006538863063
1323,Human Resource Managers,Conduct employee training programs,0.00653852333,Train staff,0.00653852333,Human resources,0.6075938278
1323,Human Resource Managers,Investigate industrial or transportation accidents,0.006185671197,Investigate equipment and systems malfunctions and failures,0.006185671197,Safety and hazard management,0.006185671197
1323,Human Resource Managers,Prepare reports related to compliance matters,0.006185671197,Prepare or manage compliance documentation,0.006185671197,"Records, documentation, reports and research",0.03487965491
1323,Human Resource Managers,Prepare operational budgets,0.004062159998,Manage operational budgets,0.004062159998,Business operations and financial activities,0.07523273703
1323,Human Resource Managers,Advise others on career or personal development,0.001557033866,Undertake or provide professional skill and knowledge development,0.02106485719,Human resources,0.6075938278
1323,Human Resource Managers,Negotiate sales or lease agreements for goods or services,0.001189007733,Negotiate purchases or contracts,0.001189007733,Business operations and financial activities,0.07523273703
1323,Human Resource Managers,Analyse data to inform operational decisions or activities,0.0009846399995,Use data to inform operational decisions,0.01026037239,"Data, analytics, and databases",0.01026037239
1324,Policy and Planning Managers,Direct financial operations,0.1562415324,"Manage, monitor and undertake financial activities",0.1562415324,Business operations and financial activities,0.5217611207
1324,Policy and Planning Managers,"Direct organisational operations, projects or services",0.1340186756,"Manage services, staff or activities",0.2553227233,Business operations and financial activities,0.5217611207
1324,Policy and Planning Managers,"Direct sales, marketing or customer service activities",0.09698041708,"Manage services, staff or activities",0.2553227233,Business operations and financial activities,0.5217611207
1324,Policy and Planning Managers,Confer with peers to accomplish work,0.07985207846,Communicate and collaborate,0.09001356522,Communication and collaboration,0.1068608666
1324,Policy and Planning Managers,Analyse data to assess operational or project effectiveness,0.07807747382,Use data to inform operational decisions,0.1210317802,"Data, analytics, and databases",0.1210317802
1324,Policy and Planning Managers,Manage human resources activities,0.04546252961,Undertake human resources activities ,0.08667662571,Human resources,0.1481226185
1324,Policy and Planning Managers,Analyse data to inform operational decisions or activities,0.04295430637,Use data to inform operational decisions,0.1210317802,"Data, analytics, and databases",0.1210317802
1324,Policy and Planning Managers,Communicate organisational policies and procedures,0.0412140961,Undertake human resources activities ,0.08667662571,Human resources,0.1481226185
1324,Policy and Planning Managers,Manage construction activities,0.03381746422,Manage construction or production projects,0.03381746422,Work activities preparation,0.03381746422
1324,Policy and Planning Managers,Prepare staff schedules or work assignments,0.03153541401,Schedule staff or assign work,0.03153541401,Human resources,0.1481226185
1324,Policy and Planning Managers,Resolve employee or contractor problems,0.02991057883,Resolve human resources issues,0.02991057883,Human resources,0.1481226185
1324,Policy and Planning Managers,Develop organisational policies or programs,0.02982647514,Establish organisational policies or programs,0.05965295028,Business operations and financial activities,0.5217611207
1324,Policy and Planning Managers,Implement organisational process or policy changes,0.02982647514,Establish organisational policies or programs,0.05965295028,Business operations and financial activities,0.5217611207
1324,Policy and Planning Managers,"Negotiate contracts for transportation, distribution or logistics services",0.02952697887,Negotiate purchases or contracts,0.02952697887,Business operations and financial activities,0.5217611207
1324,Policy and Planning Managers,Direct administrative or support services,0.02432363062,"Manage services, staff or activities",0.2553227233,Business operations and financial activities,0.5217611207
1324,Policy and Planning Managers,Draft legislation or regulations,0.02044519335,"Prepare forms, legislation or proposals",0.02044519335,"Records, documentation, reports and research",0.05039423064
1324,Policy and Planning Managers,Present information to the public,0.01753625849,Present information and news to the public,0.01753625849,"Records, documentation, reports and research",0.05039423064
1324,Policy and Planning Managers,Prepare operational budgets,0.0144050862,Manage operational budgets,0.0144050862,Business operations and financial activities,0.5217611207
1324,Policy and Planning Managers,Advise others on legal or regulatory compliance matters,0.0124127788,"Respond to legal, regulatory and compliance issues",0.0124127788,"Records, documentation, reports and research",0.05039423064
1324,Policy and Planning Managers,Represent the organisation in external relations,0.01214930243,Collaborate with stakeholders,0.01684730133,Communication and collaboration,0.1068608666
1324,Policy and Planning Managers,Liaise between departments or other groups to improve function or communication,0.01016148676,Communicate and collaborate,0.09001356522,Communication and collaboration,0.1068608666
1324,Policy and Planning Managers,Coordinate special events or programs,0.008748322536,Coordinate recreational activities or special events,0.008748322536,Recreation and sporting events,0.008748322536
1324,Policy and Planning Managers,"Prepare financial documents, reports or budgets",0.006611849582,"Undertake financial reporting, documentation and analysis",0.006611849582,Business operations and financial activities,0.5217611207
1324,Policy and Planning Managers,Prepare operational progress or status reports,0.006611849582,Manage or document operational procedure or process,0.006611849582,Operating procedures and processes,0.006611849582
1324,Policy and Planning Managers,Coordinate with external parties to exchange information,0.004697998909,Collaborate with stakeholders,0.01684730133,Communication and collaboration,0.1068608666
1324,Policy and Planning Managers,"Promote goods, services, or programs",0.002651747052,Conduct sales and marketing activities ,0.002651747052,Sales and marketing,0.002651747052
1325,Research and Development Managers,Coordinate operational activities with external stakeholders,0.1145628382,Collaborate with stakeholders,0.1145628382,Communication and collaboration,0.1814313292
1325,Research and Development Managers,"Direct organisational operations, projects or services",0.09044094958,"Manage services, staff or activities",0.09044094958,Business operations and financial activities,0.2469329159
1325,Research and Development Managers,"Develop operating strategies, plans or procedures",0.07945131531,"Develop operational strategies, plans or procedures",0.1288949485,Operating procedures and processes,0.1843686202
1325,Research and Development Managers,Establish interpersonal business relationships to facilitate work activities,0.06686849092,Communicate and collaborate,0.06686849092,Communication and collaboration,0.1814313292
1325,Research and Development Managers,Communicate organisational information to customers or other stakeholders,0.06686849092,Provide customer service and communicate information,0.06686849092,Customer service,0.06686849092
1325,Research and Development Managers,Develop organisational goals or objectives,0.05697012572,Establish organisational policies or programs,0.1073812588,Business operations and financial activities,0.2469329159
1325,Research and Development Managers,Analyse data to inform operational decisions or activities,0.05547367172,Use data to inform operational decisions,0.05547367172,"Data, analytics, and databases",0.1097194205
1325,Research and Development Managers,Prepare operational progress or status reports,0.05547367172,Manage or document operational procedure or process,0.05547367172,Operating procedures and processes,0.1843686202
1325,Research and Development Managers,"Manage operations, research or logistics projects",0.05424574879,Operations research and management,0.05424574879,"Data, analytics, and databases",0.1097194205
1325,Research and Development Managers,Develop organisational methods or procedures,0.04944363319,"Develop operational strategies, plans or procedures",0.1288949485,Operating procedures and processes,0.1843686202
1325,Research and Development Managers,Manage human resources activities,0.03268325746,Undertake human resources activities ,0.03268325746,Human resources,0.1439779025
1325,Research and Development Managers,Recruit staff,0.03268325746,Undertake recruitment activities,0.06536473505,Human resources,0.1439779025
1325,Research and Development Managers,Evaluate employee performance,0.03268147759,Staff performance management,0.03268147759,Performance evaluation and efficency improvement,0.03268147759
